datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
8/10/03,2.384278517,1.713169244,,5.588,87
8/11/03,2.372951779,1.713169244,,6.604,84
8/12/03,2.372951779,1.69901082,,0,80.5
8/13/03,2.375783463,1.69901082,,50.8,77.5
8/14/03,2.367288409,1.713169244,,3.81,75
8/15/03,2.330476508,1.713169244,,0,82.5
8/16/03,2.324813139,1.713169244,,0,88.5
8/17/03,2.319149769,1.701842505,,0,85.5
8/18/03,2.316318085,1.693347451,,0,87
8/19/03,2.310654715,1.687684081,,0,86
8/20/03,2.293664607,1.687684081,,0,86.5
8/21/03,2.279506184,1.679189027,,0,86
8/22/03,2.262516075,1.563089954,,0,83
8/23/03,2.245525967,1.5545949,,0,84
8/24/03,2.234199228,1.534773107,,0,85
8/25/03,2.22287249,1.523446369,,0,86.5
8/26/03,2.208714066,1.517782999,,0,86.5
8/27/03,2.194555643,1.517782999,,0,87.5
8/28/03,2.180397219,1.51211963,,0,87.5
8/29/03,2.16907048,1.509287945,,0,88.5
8/30/03,2.157743741,1.51211963,,0,88
8/31/03,2.146417003,1.529109738,,6.858,80.5
9/1/03,2.146417003,1.563089954,,4.318,79.5
9/2/03,2.129426894,1.563089954,,0,79.5
9/3/03,2.115268471,1.56025827,,0,85
9/4/03,2.101110047,1.557426585,,0,85
9/5/03,2.089783309,1.563089954,,0,83.5
9/6/03,2.07845657,1.5545949,,0,83
9/7/03,2.069961516,1.529109738,,0,79
9/8/03,2.055803092,1.381862134,,0,81
9/9/03,2.047308038,1.376198764,,0,81.5
9/10/03,2.038812984,1.393188872,,0.254,87.5
9/11/03,2.033149615,1.424337404,,16.002,82.5
9/12/03,2.089783309,1.424337404,,13.208,76
9/13/03,2.098278363,1.418674035,,0,79
9/14/03,2.07845657,1.424337404,,5.842,74
9/15/03,2.089783309,1.421505719,,0,77
9/16/03,2.052971408,1.424337404,,0,79
9/17/03,2.044476353,1.424337404,,0,80
9/18/03,2.03031793,1.424337404,,0,77
