DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
7/14/78,0.56633694,,,0,31.7,0,54.368256,,,0.026334624
7/15/78,0.56633694,,,0,32.5,0,53.235584,,,0.020671264
7/16/78,0.56633694,,,1.016,33.6,0,51.536576,,,0.020388096
7/17/78,0.56633694,,,0,31.1,0,53.80192,,,0.020388096
7/18/78,0.56633694,,,0,31.4,0,52.952416,,,0.018122752
7/19/78,0.56633694,,,0,30,0,52.952416,,,0.022087104
7/20/78,0.56633694,,,0,31.1,0,53.518752,,,0.025201952
7/21/78,0.56633694,,,0,30.8,0,49.5544,,,0.026334624
7/22/78,0.56633694,,,5.842,30.6,0,42.192032,,,0.019538592
7/23/78,0.594653787,,,11.176,29.2,0,51.819744,,,0.3114848
7/24/78,0.56633694,,,0,28.3,0,50.97024,,,0.0424752
7/25/78,0.538020093,,,0,29.7,0,41.908864,,,0.03114848
7/26/78,0.56633694,,,0,30.3,0,32.281152,,,0.026334624
7/27/78,0.538020093,,,0,30.6,0,39.64352,,,0.020388096
7/28/78,0.538020093,,,0,28.3,0,35.112832,,,0.03114848
7/29/78,0.538020093,,,0,29.4,0,36.245504,,,0.026051456
7/30/78,0.56633694,,,0,29.4,0,36.245504,,,0.0141584
7/31/78,0.56633694,,,12.192,22.8,0,37.661344,,,0.13025728
8/1/78,0.538020093,,,36.322,24.2,0,22.228688,,,2.4918784
8/2/78,0.594653787,,,0.254,28.1,0,2.3219776,,,0.1699008
8/3/78,0.56633694,,,0,28.9,0,31.14848,,,0.06796032
8/4/78,0.56633694,,,0,27.8,0,40.776192,,,0.05380192
8/5/78,0.56633694,,,0,28.6,0,61.447456,,,0.04813856
8/6/78,0.594653787,,,0,27.8,0,54.368256,,,0.04813856
8/7/78,0.622970634,,,0,28.6,0,60.597952,,,0.0424752
8/8/78,0.679604328,,,0,28.3,0,60.314784,,,0.03681184
8/9/78,0.707921175,,,0.254,29.2,0,62.863296,,,0.03681184
8/10/78,0.679604328,,,0,29.4,0,60.88112,,,0.1132672
8/11/78,0.679604328,,,0,29.2,0,62.863296,,,0.10477216
8/12/78,0.707921175,,,0,30.3,0,62.863296,,,0.0424752
8/13/78,0.679604328,,,0,30.6,0,59.748448,,,0.03964352
8/14/78,0.651287481,,,0,30.8,0,62.580128,,,0.03964352
8/15/78,0.622970634,,,0,30.8,0,68.526656,,,0.03964352
8/16/78,0.622970634,,,0,31.1,0,67.96032,,,0.03964352
8/17/78,0.594653787,,,0,31.1,0,65.694976,,,0.03964352
8/18/78,0.594653787,,,0,31.7,0,66.261312,,,0.0424752
8/19/78,0.622970634,,,0,30.3,0,83.817728,,,0.0424752
8/20/78,0.622970634,,,0,30.3,0,78.720704,,,0.04530688
8/21/78,0.622970634,,,0,29.7,0,82.11872,,,0.03964352
8/22/78,0.622970634,,,0,28.9,0,77.304864,,,0.03681184
8/23/78,0.679604328,,,0,29.4,0,86.083072,,,0.03398016
8/24/78,0.651287481,,,0,30,0,76.45536,,,0.03398016
8/25/78,0.651287481,,,0,30.3,0,97.409792,,,0.0283168
8/26/78,0.651287481,,,0,30.3,0,83.251392,,,0.025201952
8/27/78,0.651287481,,,0,29.7,0,86.083072,,,0.024635616
8/28/78,0.651287481,,,0,30.6,0,87.215744,,,0.017839584
8/29/78,0.651287481,,,0,28.1,0,86.083072,,,0.023219776
8/30/78,0.679604328,,,0.254,27.5,0,84.9504,,,0.023786112
8/31/78,0.651287481,,,0.762,26.9,0,81.269216,,,0.018122752
9/1/78,0.622970634,,,21.082,26.4,0,75.03952,,,0.1699008
9/2/78,0.679604328,,,0,27.8,0,69.659328,,,0.05097024
9/3/78,0.679604328,,,0,28.3,0,69.942496,,,0.018972256
9/4/78,0.651287481,,,6.35,28.6,0,72.491008,,,0.01557424
9/5/78,0.651287481,,,0,27.5,0,65.12864,,,0.0283168
9/6/78,0.651287481,,,0,27.2,0,61.164288,,,0.01557424
9/7/78,0.651287481,,,17.526,26.1,0,68.809824,,,1.0760384
9/8/78,0.651287481,,,9.906,25,0,60.031616,,,0.5946528
9/9/78,0.679604328,,,0,27.2,0,51.819744,,,0.0849504
9/10/78,0.679604328,,,6.096,24.7,0,52.669248,,,0.21520768
9/11/78,0.707921175,,,25.908,25.6,0,39.077184,,,1.274256
9/12/78,0.707921175,,,16.002,28.1,0,6.1164288,,,0.6796032
9/13/78,0.707921175,,,7.874,25,0,3.4546496,,,0.3964352
9/14/78,0.679604328,,,0,26.9,0,1.982176,,,0.09627712
9/15/78,0.651287481,,,0,28.3,0,30.582144,,,0.07362368
9/16/78,0.736238022,,,0,28.1,0,31.997984,,,0.06512864
9/17/78,0.736238022,,,0,28.6,0,32.56432,,,0.0566336
9/18/78,0.736238022,,,0,28.3,0,31.714816,,,0.05380192
9/19/78,0.736238022,,,0,28.6,0,35.396,,,0.04530688
9/20/78,0.736238022,,,0,27.8,0,50.403904,,,0.0424752
9/21/78,0.707921175,,,0.762,24.4,0,45.30688,,,0.04813856
9/22/78,0.679604328,,,0,25.8,0,43.89104,,,0.04813856
9/23/78,0.707921175,,,0,23.9,0,43.89104,,,0.08211872
9/24/78,0.736238022,,,0,26.7,0,45.30688,,,0.05097024
9/25/78,0.736238022,,,0,24.4,0,42.4752,,,0.0424752
9/26/78,0.736238022,,,0,24.2,0,32.281152,,,0.03681184
9/27/78,0.736238022,,,1.27,20.6,0,30.015808,,,0.03681184
9/28/78,0.707921175,,,0,22.2,0,31.14848,,,0.0424752
9/29/78,0.679604328,,,0,23.1,0,21.2376,,,0.03964352
9/30/78,0.707921175,,,0,24.2,0,20.52968,,,0.03398016
10/1/78,0.707921175,,,0,24.7,0,21.1526496,,,0.03398016
10/2/78,0.679604328,,,0,24.4,0,11.1001856,,,0.03398016
10/3/78,0.679604328,,,9.652,25.3,0,27.0708608,,,0.03964352
10/4/78,0.679604328,,,0,23.9,0,27.467296,,,0.03964352
10/5/78,0.679604328,,,0,25,0,14.86632,,,0.03398016
10/6/78,0.622970634,,,0,20.8,0,27.9486816,,,0.03114848
10/7/78,0.622970634,,,0,21.1,0,0.5097024,,,0.03398016
10/8/78,0.651287481,,,0,19.4,0,0.6229696,,,0.03398016
10/9/78,0.651287481,,,0,20,0,1.3592064,,,0.03398016
10/10/78,0.651287481,,,0,23.6,0,1.699008,,,0.03681184
10/11/78,0.651287481,,,0,26.1,0,1.5291072,,,0.03681184
10/12/78,0.651287481,,,0,25.8,0,1.2176224,,,0.03681184
10/13/78,0.651287481,,,0,23.6,0,1.274256,,,0.03398016
10/14/78,0.707921175,,,0,17.2,0,0.991088,,,0.03398016
10/15/78,0.707921175,,,0,17.2,0,0.849504,,,0.03398016
10/16/78,0.679604328,,,0,19.4,0,0.7362368,,,0.03398016
10/17/78,0.679604328,,,0,19.2,0,1.132672,,,0.03681184
10/18/78,0.707921175,,,0,18.3,0,1.3592064,,,0.03398016
10/19/78,0.679604328,,,0,19.7,0,1.2176224,,,0.03398016
10/20/78,0.651287481,,,0,21.4,0,0.991088,,,0.03398016
10/21/78,0.707921175,,,0,20,0,1.1043552,,,0.03681184
10/22/78,0.736238022,,,0,23.1,0,1.1893056,,,0.04813856
10/23/78,0.736238022,,,0,20.3,0,1.41584,,,0.03398016
10/24/78,0.736238022,,,0,18.9,0,12.600976,,,0.03398016
10/25/78,0.736238022,,,20.574,20.6,0,0.18972256,,,0.0566336
10/26/78,0.651287481,,,4.826,18.1,0,1.7556416,,,0.0991088
10/27/78,0.707921175,,,0,17.8,0,1.2459392,,,0.0424752
10/28/78,0.764554869,,,0,18.6,0,1.274256,,,0.03964352
10/29/78,0.764554869,,,0,18.3,0,1.2176224,,,0.03681184
10/30/78,0.792871716,,,0,18.6,0,0.8211872,,,0.03681184
10/31/78,0.821188563,,,0,20.3,0,1.0760384,,,0.03964352
11/1/78,0.906139104,,,0,21.9,0,1.1609888,,,0.03398016
11/2/78,0.84950541,,,0,21.1,0,1.1609888,,,0.03398016
11/3/78,0.84950541,,,0,20.8,0,0.9627712,,,0.03681184
11/4/78,0.792871716,,,0,20.3,0,0.991088,,,0.03681184
11/5/78,0.84950541,,,87.63,19.7,0,22.370272,,,4.9271232
11/6/78,0.84950541,,,0,15,0,10.052464,,,2.0671264
11/7/78,0.792871716,,,0,12.8,0,1.2459392,,,0.11043552
11/8/78,0.877822257,,,0,10.3,0,1.1043552,,,0.07928704
11/9/78,0.877822257,,,0,12.5,0,1.3025728,,,0.07362368
11/10/78,0.877822257,,,0,19.4,0,1.5007904,,,0.06512864
11/11/78,0.877822257,,,4.318,16.9,0,1.7273248,,,0.06512864
11/12/78,0.877822257,,,0,20.3,0,1.6423744,,,0.14724736
11/13/78,0.877822257,,,0.508,23.3,0,1.699008,,,0.06796032
11/14/78,0.877822257,,,0,23.3,0,1.4724736,,,0.06512864
11/15/78,0.906139104,,,9.144,15,0,3.1714816,,,0.5097024
11/16/78,0.906139104,,,13.97,6.9,0,3.964352,,,0.6512864
11/17/78,0.934455951,,,0,9.4,0,1.840592,,,0.1982176
11/18/78,0.934455951,,,0,13.6,0,1.9538592,,,0.11043552
11/19/78,0.962772798,,,6.858,12.2,0,3.3130656,,,0.5097024
11/20/78,0.991089645,,,2.794,10.6,0,2.4918784,,,0.3114848
11/21/78,0.991089645,,,4.318,10.6,0,2.406928,,,0.3398016
11/22/78,1.019406492,,,1.524,12.8,0,2.2087104,,,0.28033632
11/23/78,1.076040186,,,0,19.7,0,2.0954432,,,0.17556416
11/24/78,1.076040186,,,0.762,19.2,0,2.0388096,,,0.14441568
11/25/78,1.104357033,,,0.508,22.2,0,2.1803936,,,0.14724736
11/26/78,1.104357033,,,4.318,18.3,0,3.4829664,,,0.3398016
11/27/78,1.13267388,,,0.508,11.1,0,2.12376,,,0.3114848
11/28/78,1.104357033,,,2.032,7.5,0,2.7467296,,,0.17273248
11/29/78,1.076040186,,,0,14.4,0,1.8122752,,,0.1840592
11/30/78,1.047723339,,,0,14.7,0,2.12376,,,0.15007904
12/1/78,1.047723339,,,0,15.6,0,3.822768,,,0.13875232
12/2/78,1.047723339,,,0,22.2,0,1.6706912,,,0.13308896
12/3/78,1.047723339,,,5.334,13.1,0,2.3786112,,,0.27184128
12/4/78,1.047723339,,,0,8.3,0,2.6051456,,,0.16423744
12/5/78,1.047723339,,,0,11.4,0,1.4441568,,,0.141584
12/6/78,1.076040186,,,0,10.6,0,1.7556416,,,0.13308896
12/7/78,1.047723339,,,0,2.8,0,1.5007904,,,0.1274256
12/8/78,1.047723339,,,0,-0.3,0,1.6706912,,,0.12176224
12/9/78,1.047723339,,,0,0.3,0,1.1893056,,,0.12176224
12/10/78,1.047723339,,,0,0.3,0,1.2176224,,,0.12176224
12/11/78,1.047723339,,,0,4.2,0,2.406928,,,0.12176224
12/12/78,1.047723339,,,0,6.7,0,1.840592,,,0.11609888
12/13/78,1.019406492,,,0,11.7,0,2.12376,,,0.11609888
12/14/78,1.019406492,,,1.27,7.5,0,1.7273248,,,0.11609888
12/15/78,1.019406492,,,0,11.9,0,1.8689088,,,0.11609888
12/16/78,1.019406492,,,0,11.9,0,2.0104928,,,0.11609888
12/17/78,1.019406492,,,0,9.4,0,1.7273248,,,0.11043552
12/18/78,1.019406492,,,0,15.3,0,1.7273248,,,0.11043552
12/19/78,1.047723339,,,0,17.2,0,1.41584,,,0.11043552
12/20/78,1.019406492,,,0,18.3,0,1.3308896,,,0.10760384
12/21/78,0.991089645,,,0,9.4,0,1.699008,,,0.1132672
12/22/78,0.991089645,,,0,8.6,0,1.5291072,,,0.11609888
12/23/78,0.991089645,,,0,12.2,0,1.6140576,,,0.11609888
12/24/78,1.019406492,,,0,9.4,0,1.9538592,,,0.11609888
12/25/78,0.991089645,,,0,10.3,0,1.5857408,,,0.11609888
12/26/78,1.019406492,,,0,10.6,0,1.699008,,,0.11609888
12/27/78,0.991089645,,,0,10,0,1.1893056,,,0.11893056
12/28/78,0.991089645,,,1.016,10.6,0,1.5857408,,,0.13308896
12/29/78,0.991089645,,,0.254,16.4,0,1.6423744,,,0.14724736
12/30/78,0.991089645,,,3.556,8.3,0,1.6140576,,,0.15291072
12/31/78,1.245941268,,,60.706,0.6,0.3681184,29.449472,,,13.9318656
1/1/79,1.41584235,,,2.032,-3.6,0.5097024,3.7378176,,,3.0015808
1/2/79,1.444159197,,,0,-5.3,0.4813856,67.393984,,,0.7362368
1/3/79,1.472476044,,,0,-1.1,0.4530688,8.6932576,,,0.5946528
1/4/79,1.472476044,,,6.35,5.8,0.424752,3.4829664,,,0.6512864
1/5/79,1.472476044,,,2.032,4.7,0.424752,4.24752,,,0.7645536
1/6/79,1.529109738,,,5.588,-0.3,0.4530688,4.1908864,,,0.9344544
1/7/79,1.557426585,,,0,-0.6,0.4813856,3.5396,,,0.6796032
1/8/79,1.557426585,,,0,-1.9,0.3681184,3.114848,,,0.5380192
1/9/79,1.500792891,,,0,-1.7,0.283168,2.83168,,,0.5097024
1/10/79,1.557426585,,,22.86,2.8,0.5097024,9.4578112,,,2.5201952
1/11/79,1.812278208,,,0.508,4.7,10.9869184,13.6486976,,,2.8883136
1/12/79,2.038812984,,,0,6.9,5.4368256,9.3162272,,,1.0477216
1/13/79,2.010496137,,,0,2.5,3.822768,16.6219616,,,0.7928704
1/14/79,1.98217929,,,0,-1.9,2.9166304,6.1164288,,,0.5946528
1/15/79,1.925545596,,,0,1.1,2.548512,5.238608,,,0.566336
1/16/79,1.897228749,,,0,11.1,2.406928,5.4651424,,,0.566336
1/17/79,1.98217929,,,1.27,15.3,2.1803936,5.238608,,,0.5380192
1/18/79,1.98217929,,,3.048,18.1,1.982176,5.946528,,,0.6512864
1/19/79,1.98217929,,,0.254,19.2,1.7839584,4.9271232,,,0.566336
1/20/79,1.98217929,,,0.254,12.8,1.41584,4.7572224,,,0.5097024
1/21/79,1.953862443,,,0,8.6,1.2176224,4.3324704,,,0.424752
1/22/79,1.953862443,,,0,8.1,1.1043552,4.1625696,,,0.424752
1/23/79,1.953862443,,,0,5.8,1.0477216,4.530688,,,0.424752
1/24/79,1.925545596,,,0,2.2,0.9344544,3.964352,,,0.3964352
1/25/79,1.98217929,,,5.842,6.9,0.8778208,4.7289056,,,0.4813856
1/26/79,1.98217929,,,0.254,8.6,0.9061376,4.5590048,,,0.5946528
